transcript_id	drop_status	description
ENSMUST00000000096	False	Warning: Missing `5'UTR'
ENSMUST00000000228	True	Fatal: Missing `CDS`
ENSMUST00000000402	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000000632	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000000821	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000001083	True	Fatal: Missing `CDS`
ENSMUST00000001162	True	Fatal: Missing `CDS`
ENSMUST00000001331	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000001335	False	Warning: Missing `5'UTR'
ENSMUST00000001454	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000001619	True	Fatal: Missing `CDS`
ENSMUST00000001872	False	Warning: Missing `5'UTR'
ENSMUST00000001964	False	Warning: Missing `5'UTR'
ENSMUST00000002095	False	Warning: Missing `5'UTR'
ENSMUST00000002490	True	Fatal: Missing `CDS`
ENSMUST00000002740	False	Warning: Missing `3'UTR'
ENSMUST00000002874	True	Fatal: Missing `CDS`
ENSMUST00000003245	True	Fatal: Missing `CDS`
ENSMUST00000003404	False	Warning: Missing `3'UTR'
ENSMUST00000003413	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000003544	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000003710	False	Warning: Missing `5'UTR'
ENSMUST00000003777	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000004340	False	Warning: Missing `5'UTR'
ENSMUST00000004569	True	Fatal: Missing `CDS`
ENSMUST00000004745	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000004761	False	Warning: Missing `3'UTR'
ENSMUST00000004892	False	Warning: Missing `3'UTR'
ENSMUST00000004987	False	Warning: Missing `5'UTR'
ENSMUST00000005114	False	Warning: Missing `3'UTR'
ENSMUST00000005122	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000005400	True	Fatal: Missing `CDS`
ENSMUST00000005518	False	Warning: Missing `3'UTR'
ENSMUST00000005597	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000005671	False	Warning: Missing `5'UTR'
ENSMUST00000006106	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000006209	True	Fatal: `CDS` not in `mRNA`
ENSMUST00000006415	True	Fatal: Missing `CDS`
ENSMUST00000006470	False	Warning: Missing `5'UTR'
ENSMUST00000006579	False	Warning: Missing `5'UTR'
ENSMUST00000006787	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000006814	True	Fatal: Missing `CDS`
ENSMUST00000006903	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000006948	True	Fatal: Missing `CDS`
ENSMUST00000007423	False	Warning: Missing `5'UTR'
ENSMUST00000007584	False	Warning: Missing `5'UTR'
ENSMUST00000007601	False	Warning: Missing `3'UTR'
ENSMUST00000008011	True	Fatal: Missing `CDS`
ENSMUST00000008830	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000008847	True	Fatal: Missing `CDS`
ENSMUST00000009018	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000009191	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000009772	False	Warning: Missing `5'UTR'
ENSMUST00000010224	True	Fatal: Missing `CDS`
ENSMUST00000011196	True	Fatal: Missing `CDS`
ENSMUST00000012104	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
ENSMUST00000012759	True	Fatal: Missing `CDS`
ENSMUST00000012921	True	Warning: Missing `5'UTR'; Warning: Missing `3'UTR'
